id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,2020-01-19 06:14:52.661218,0,,,5,4,3
2,2020-01-19 06:15:12.176131,2,Pants,"[{""added"": {}}]",5,4,1
3,2020-01-19 06:16:55.482097,15,lan,"[{""added"": {}}]",6,4,1
4,2020-01-21 18:05:12.139139,3,product2,"[{""changed"": {""fields"": [""title"", ""label"", ""slug""]}}]",12,4,2
5,2020-01-21 18:05:41.066241,2,product3,"[{""changed"": {""fields"": [""title"", ""label"", ""slug""]}}]",12,4,2
6,2020-01-21 18:11:50.284036,2,product3,"[{""changed"": {""fields"": [""slug""]}}]",12,4,2
7,2020-01-21 18:12:07.475236,2,product3,"[{""changed"": {""fields"": [""category""]}}]",12,4,2
8,2020-01-21 18:12:12.588358,2,product3,"[{""changed"": {""fields"": [""label""]}}]",12,4,2
9,2020-01-21 18:23:00.514541,2,product3,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
10,2020-01-21 18:25:01.084781,2,product3,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
11,2020-01-21 18:28:03.460963,3,product2,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
12,2020-01-21 18:37:34.735354,3,product2,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
13,2020-01-21 18:48:39.948979,3,product2,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
14,2020-01-21 18:55:55.251477,2,product3,"[{""changed"": {""fields"": [""image""]}}]",12,4,2
