id,app,name,applied
1,contenttypes,0001_initial,2020-01-18 17:30:53.732474
2,contenttypes,0002_remove_content_type_name,2020-01-18 17:30:53.761947
3,auth,0001_initial,2020-01-18 17:30:53.811628
4,auth,0002_alter_permission_name_max_length,2020-01-18 17:30:53.844293
5,auth,0003_alter_user_email_max_length,2020-01-18 17:30:53.876896
6,auth,0004_alter_user_username_opts,2020-01-18 17:30:53.901601
7,auth,0005_alter_user_last_login_null,2020-01-18 17:30:53.932391
8,auth,0006_require_contenttypes_0002,2020-01-18 17:30:53.952461
9,auth,0007_alter_validators_add_error_messages,2020-01-18 17:30:53.981456
10,auth,0008_alter_user_username_max_length,2020-01-18 17:30:54.011733
11,auth,0009_alter_user_last_name_max_length,2020-01-18 17:30:54.048098
12,auth,0010_alter_group_name_max_length,2020-01-18 17:30:54.086046
13,auth,0011_update_proxy_permissions,2020-01-18 17:30:54.112732
14,accounts,0001_initial,2020-01-18 17:30:54.154345
15,admin,0001_initial,2020-01-18 17:30:54.196316
16,admin,0002_logentry_remove_auto_add,2020-01-18 17:30:54.242260
17,admin,0003_logentry_add_action_flag_choices,2020-01-18 17:30:54.291034
18,products,0001_initial,2020-01-18 17:30:54.339390
19,cart,0001_initial,2020-01-18 17:30:54.436668
21,sessions,0001_initial,2020-01-18 17:30:54.474725
22,accounts,0002_auto_20200118_2359,2020-01-18 18:29:45.036431
23,products,0002_auto_20200119_1024,2020-01-19 04:54:51.963333
24,products,0003_auto_20200119_1027,2020-01-19 04:57:17.335657
25,products,0004_auto_20200119_1028,2020-01-19 04:58:45.526964
26,products,0005_auto_20200119_1038,2020-01-19 05:10:35.967928
27,products,0006_auto_20200119_1053,2020-01-19 05:23:11.943260
28,products,0007_auto_20200119_1107,2020-01-19 05:37:23.053704
29,products,0008_auto_20200119_1126,2020-01-19 05:56:51.387613
30,accounts,0003_auto_20200119_1143,2020-01-19 06:13:41.492166
31,products,0009_auto_20200119_1143,2020-01-19 06:13:41.507166
32,products,0010_auto_20200119_1241,2020-01-19 07:11:45.818517
33,products,0011_auto_20200119_1246,2020-01-19 07:16:05.401101
34,accounts,0002_customuser_name,2020-01-19 10:21:08.232840
35,accounts,0003_auto_20200119_1552,2020-01-19 10:22:08.396580
37,mapp,0002_auto_20200121_2222,2020-01-21 16:52:31.670695
38,mapp,0003_item_slug,2020-01-21 17:21:50.178632
39,mapp,0004_auto_20200121_2338,2020-01-21 18:08:29.313596
40,mapp,0005_auto_20200121_2352,2020-01-21 18:22:13.794831
41,mapp,0006_auto_20200121_2354,2020-01-21 18:24:52.203393
42,mapp,0007_auto_20200122_0026,2020-01-21 18:56:17.635229
43,mapp,0001_initial,2020-01-22 13:02:45.393050
